Name,Year,Duration,Rating,MetaScore,Vote,Gross
Titans,2018,45,8.3,Unknown,16255,Unknown
Professor Marston and the Wonder Women,2017,108,7.1,68,16231,1584759
Jab Harry Met Sejal,2017,143,5.4,Unknown,16210,1284740
Operation Finale,2018,122,6.5,58,16209,17612099
The Bye Bye Man,2017,96,4.3,37,16096,22377458
Stranger Things,2016,45,6.2,Unknown,15958,Unknown
Cult of Chucky,2017,91,5.2,69,15931,Unknown
22 July,2018,143,6.8,69,15929,Unknown
God's Own Country,2017,104,7.7,85,15873,335609
Zero,2018,164,6.1,Unknown,15845,Unknown
Hindi Medium,2017,132,7.8,Unknown,15842,Unknown
Justice League Dark,2017,75,7.1,Unknown,15575,Unknown
iBoy,2017,90,6.0,50,15556,Unknown
El bar,2017,102,6.3,Unknown,15523,Unknown
Traffik,2018,96,6.0,37,15482,9186156
Smallfoot,2018,96,6.7,60,15456,83169877
Leatherface,2017,90,5.0,40,15316,Unknown
2:22,2017,98,5.7,Unknown,15307,Unknown
Slender Man,2018,93,3.2,30,15301,30569484
Koombiyo,2017,20,9.8,Unknown,15252,Unknown
Disobedience,2017,114,6.6,74,15191,3480702
Secret Superstar,2017,150,8.0,Unknown,15187,Unknown
Black Lightning,2018,43,6.4,Unknown,15134,Unknown
Blue Planet II,2017,60,9.3,Unknown,14988,Unknown
The Outsider,2018,120,6.3,30,14956,Unknown
Stree,2018,128,7.9,Unknown,14901,Unknown
Little Evil,2017,94,5.7,Unknown,14893,Unknown
Insatiable,2018,45,6.7,Unknown,14840,Unknown
Runaways,2017,60,7.3,Unknown,14807,Unknown
Raazi,2018,138,7.8,Unknown,14793,Unknown
Book Club,2018,104,6.1,53,14791,68566296
Song to Song,2017,129,5.7,54,14771,443684
Patrick Melrose,2018,60,8.2,Unknown,14711,Unknown
Ghostland,2018,91,6.4,44,14708,Unknown
My Cousin Rachel,2017,106,6.0,63,14665,2676077
Zimna wojna,2018,88,7.8,91,14562,272118
Smurfs: The Lost Village,2017,90,6.0,40,14511,45020282
Bao,2018,8,7.5,Unknown,14489,Unknown
